feature,weight,std
TCVUSD,1.1750182629216106,0.0009202544100425591
Average_Tariff,0.46686005276632914,0.0005736659732853598
HS_Group_Name_Finished Goods,0.19843666384036904,9.842978669310656e-05
Trade_Direction_Import,0.17304776008773073,0.0003126912981351621
cases_weekly,0.13155592189263476,0.00010084309804706334
US_company_size,0.13110638641266467,0.0003020165901269671
HS_Group_Name_Raw Input,0.1287807512002703,0.00016388149692855646
foreign_company_size,0.11316615458124901,0.00019588009699881344
deaths_weekly,0.10108283626195617,0.0001562927016753502
deaths_pctdelta,0.07659795187490974,0.00020573950170356002
State_Closure_EA_Diff,0.06713612597809707,0.00017832799328274134
Container_Type_Dry_True,0.06548021630210085,0.00023202449191882994
Foreign_Country_Region_European Union,0.06018823726325908,5.23924103818985e-05
HS_Group_Name_Edible with Processing,0.05984233881023102,0.00016264915610558547
Foreign_Country_Region_South Asia,0.05962574306725323,0.00023510528894300726
cases_pctdelta,0.05874880910119891,4.6865912446677384e-05
Foreign_Country_Region_Other East Asia (not China),0.05213168911288022,0.00010580308429877627
HS_Group_Name_Pharma,0.04105961801533629,0.00010689140016123518
Foreign_Country_Region_Southeast Asia,0.03733874885020694,6.581746943415195e-05
HS_Group_Name_Vices,0.03214525843497511,6.60289702520347e-05
